Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-24.1,11.313710,447,100,101,1.383045e-01,9.900990e-01,0.075299,0.000745535,0.043
1.0,-23.1,10.083356,338,100,103,1.025485e-01,9.708738e-01,0.076071,0.000738553,0.043
2.0,-22.1,8.986798,299,100,106,8.814859e-02,9.433962e-01,0.078280,0.000738491,0.043
3.0,-21.1,8.009494,224,100,123,5.691057e-02,8.130081e-01,0.090799,0.000738203,0.043
4.0,-20.1,7.138470,172,100,132,4.071970e-02,7.575758e-01,0.097441,0.000738189,0.043
5.0,-19.1,6.362167,138,100,188,2.293883e-02,5.319149e-01,0.138498,0.000736691,0.043
6.0,-18.1,5.670288,112,100,333,1.051051e-02,3.003003e-01,0.245546,0.000737375,0.043
7.0,-17.1,5.053649,110,100,602,5.710133e-03,1.661130e-01,0.443911,0.000737394,0.043
8.0,-16.1,4.504069,102,100,1386,2.299784e-03,7.215007e-02,1.017675,0.000734253,0.044
9.0,-15.1,4.014256,101,100,3780,8.349868e-04,2.645503e-02,2.776522,0.000734530,0.044
10.0,-14.1,3.577709,100,100,17248,1.811804e-04,5.797774e-03,12.670338,0.000734598,0.044
11.0,-13.1,3.188637,100,100,116864,2.674048e-05,8.556955e-04,85.809208,0.000734266,0.044
12.0,-12.1,2.841876,101,100,809803,3.897553e-06,1.234868e-04,594.766394,0.000734458,0.044
