
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.664 |      1.152 |     45.793 |       19.234 |       0.2%
Encodeur        |      0.928 |      0.800 |      6.112 |     8827.398 |       0.1%
Modulateur      |      2.771 |      2.368 |     34.113 |     2956.291 |       0.4%
Canal           |    741.926 |    707.500 |   1034.193 |       11.042 |      96.9%
Demodulateur    |     10.080 |      9.152 |     48.480 |      812.659 |       1.3%
Decodeur        |      7.693 |      7.424 |      9.024 |        4.159 |       1.0%
Moniteur        |      0.221 |      0.128 |      0.800 |      144.907 |       0.0%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.220 |      1.120 |      1.760 |       26.221 |       0.2%
Encodeur        |      0.879 |      0.832 |      1.120 |     9323.698 |       0.1%
Modulateur      |      2.437 |      2.336 |      2.752 |     3361.523 |       0.3%
Canal           |    729.313 |    707.020 |    954.160 |       11.232 |      97.0%
Demodulateur    |      9.984 |      9.152 |     49.760 |      820.501 |       1.3%
Decodeur        |      7.883 |      7.456 |     19.520 |        4.060 |       1.0%
Moniteur        |      0.174 |      0.128 |      0.288 |      184.247 |       0.0%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.218 |      1.152 |      1.440 |       26.270 |       0.2%
Encodeur        |      0.870 |      0.832 |      1.025 |     9418.543 |       0.1%
Modulateur      |      2.422 |      2.368 |      2.688 |     3382.263 |       0.3%
Canal           |    729.241 |    708.908 |    925.039 |       11.234 |      97.1%
Demodulateur    |      9.681 |      9.152 |     59.937 |      846.189 |       1.3%
Decodeur        |      7.740 |      7.424 |     14.912 |        4.134 |       1.0%
Moniteur        |      0.173 |      0.096 |      0.352 |      184.659 |       0.0%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.214 |      1.120 |      1.408 |       26.366 |       0.2%
Encodeur        |      0.872 |      0.832 |      1.056 |     9399.315 |       0.1%
Modulateur      |      2.892 |      2.336 |     31.776 |     2832.650 |       0.4%
