Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,285,100,107,8.323598e-02,9.345794e-01,0.000531,0.000004963,6.448
1.0,-5.0,1.260419,194,100,123,4.928862e-02,8.130081e-01,0.000603,0.000004902,6.527
2.0,-4.0,1.123350,171,100,136,3.929228e-02,7.352941e-01,0.000665,0.000004890,6.544
3.0,-3.0,1.001187,151,100,209,2.257775e-02,4.784689e-01,0.001012,0.000004842,6.609
4.0,-2.0,0.892308,116,100,349,1.038682e-02,2.865329e-01,0.001684,0.000004825,6.632
5.0,-1.0,0.795271,110,100,552,6.227355e-03,1.811594e-01,0.002656,0.000004812,6.651
6.0,-0.0,0.708786,102,100,1216,2.621299e-03,8.223684e-02,0.005883,0.000004838,6.614
7.0,1.0,0.631706,100,100,4241,7.368545e-04,2.357934e-02,0.020428,0.000004817,6.643
8.0,2.0,0.563009,100,100,16016,1.951174e-04,6.243756e-03,0.077070,0.000004812,6.650
9.0,3.0,0.501782,100,100,86044,3.631863e-05,1.162196e-03,0.413935,0.000004811,6.652
10.0,4.0,0.447214,100,100,668360,4.675624e-06,1.496200e-04,3.221837,0.000004821,6.638
