
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.142 |      1.056 |      3.520 |       28.010 |      27.5%
Encodeur        |      0.068 |      0.032 |      0.192 |     1868.886 |       1.6%
Modulateur      |      0.126 |      0.096 |      0.160 |     1017.812 |       3.0%
Canal           |      2.572 |      2.016 |      5.920 |       49.775 |      61.9%
Demodulateur    |      0.087 |      0.064 |      0.128 |     1465.034 |       2.1%
Decodeur        |      0.067 |      0.032 |      0.192 |      476.190 |       1.6%
Moniteur        |      0.092 |      0.032 |      1.216 |      349.650 |       2.2%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.088 |      1.344 |       28.440 |      27.3%
Encodeur        |      0.068 |      0.032 |      0.096 |     1895.735 |       1.6%
Modulateur      |      0.128 |      0.096 |      0.160 |      997.429 |       3.1%
Canal           |      2.562 |      2.016 |      4.800 |       49.968 |      62.1%
Demodulateur    |      0.091 |      0.064 |      0.128 |     1408.451 |       2.2%
Decodeur        |      0.067 |      0.032 |      0.160 |      480.769 |       1.6%
Moniteur        |      0.084 |      0.064 |      0.128 |      380.228 |       2.0%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.343 |      1.120 |      1.473 |       23.831 |      26.5%
Encodeur        |      0.080 |      0.032 |      0.128 |     1600.000 |       1.6%
Modulateur      |      0.150 |      0.128 |      0.160 |      851.064 |       3.0%
Canal           |      3.212 |      2.080 |     20.609 |       39.848 |      63.5%
Demodulateur    |      0.105 |      0.064 |      0.192 |     1223.242 |       2.1%
Decodeur        |      0.078 |      0.032 |      0.192 |      409.836 |       1.5%
Moniteur        |      0.093 |      0.064 |      0.224 |      343.606 |       1.8%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.355 |      1.280 |      1.408 |       23.612 |      27.3%
Encodeur        |      0.083 |      0.064 |      0.128 |     1548.872 |       1.7%
Modulateur      |      0.154 |      0.128 |      0.192 |      832.323 |       3.1%
Canal           |      3.079 |      2.464 |      5.121 |       41.569 |      62.1%
Demodulateur    |      0.106 |      0.096 |      0.160 |     1207.990 |       2.1%
Decodeur        |      0.081 |      0.064 |      0.128 |      393.130 |       1.6%
Moniteur        |      0.101 |      0.064 |      0.160 |      317.901 |       2.0%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.353 |      1.280 |      1.408 |       23.653 |      27.2%
Encodeur        |      0.080 |      0.064 |      0.128 |     1594.306 |       1.6%
Modulateur      |      0.153 |      0.128 |      0.160 |      834.264 |       3.1%
Canal           |      3.106 |      2.464 |      5.217 |       41.209 |      62.4%
Demodulateur    |      0.105 |      0.064 |      0.128 |     1224.044 |       2.1%
Decodeur        |      0.081 |      0.064 |      0.128 |      397.163 |       1.6%
Moniteur        |      0.097 |      0.064 |      0.160 |      328.446 |       2.0%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.273 |      1.216 |      1.408 |       25.142 |      20.9%
Encodeur        |      0.076 |      0.032 |      0.128 |     1673.469 |       1.3%
Modulateur      |      0.146 |      0.128 |      0.160 |      877.005 |       2.4%
Canal           |      4.322 |      2.304 |    164.165 |       29.616 |      71.1%
Demodulateur    |      0.097 |      0.064 |      0.128 |     1319.035 |       1.6%
Decodeur        |      0.074 |      0.032 |      0.128 |      431.579 |       1.2%
Moniteur        |      0.091 |      0.064 |      0.128 |      350.396 |       1.5%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.270 |      1.216 |      1.312 |       25.191 |      27.4%
Encodeur        |      0.076 |      0.032 |      0.128 |     1695.090 |       1.6%
Modulateur      |      0.144 |      0.128 |      0.160 |      890.057 |       3.1%
Canal           |      2.881 |      2.304 |      4.832 |       44.425 |      62.1%
Demodulateur    |      0.098 |      0.064 |      0.128 |     1304.175 |       2.1%
Decodeur        |      0.076 |      0.032 |      0.128 |      422.646 |       1.6%
Moniteur        |      0.093 |      0.064 |      0.128 |      343.793 |       2.0%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.321 |      1.216 |     14.336 |       24.231 |      28.1%
Encodeur        |      0.075 |      0.032 |      0.096 |     1699.390 |       1.6%
Modulateur      |      0.144 |      0.128 |      0.193 |      890.473 |       3.1%
Canal           |      2.890 |      2.272 |      4.832 |       44.287 |      61.5%
Demodulateur    |      0.099 |      0.064 |      0.128 |     1296.443 |       2.1%
Decodeur        |      0.075 |      0.032 |      0.128 |      427.803 |       1.6%
Moniteur        |      0.093 |      0.064 |      0.128 |      344.056 |       2.0%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.264 |      1.216 |      1.313 |       25.310 |      24.9%
Encodeur        |      0.076 |      0.032 |      0.128 |     1694.815 |       1.5%
Modulateur      |      0.144 |      0.128 |      0.161 |      890.620 |       2.8%
Canal           |      3.316 |      2.272 |    220.742 |       38.602 |      65.4%
Demodulateur    |      0.099 |      0.064 |      0.128 |     1289.564 |       2.0%
Decodeur        |      0.075 |      0.032 |      0.160 |      429.400 |       1.5%
Moniteur        |      0.095 |      0.064 |      0.192 |      338.180 |       1.9%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.175 |      1.088 |     17.665 |       27.238 |      26.4%
Encodeur        |      0.070 |      0.032 |      0.160 |     1825.815 |       1.6%
Modulateur      |      0.132 |      0.096 |      0.161 |      968.177 |       3.0%
Canal           |      2.821 |      2.048 |    204.901 |       45.380 |      63.4%
Demodulateur    |      0.090 |      0.064 |      0.128 |     1418.007 |       2.0%
Decodeur        |      0.069 |      0.032 |      0.128 |      464.864 |       1.5%
Moniteur        |      0.094 |      0.064 |     11.360 |      339.870 |       2.1%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.135 |      1.056 |     61.250 |       28.187 |      27.5%
Encodeur        |      0.070 |      0.032 |     11.457 |     1834.258 |       1.7%
Modulateur      |      0.127 |      0.096 |      0.161 |     1004.099 |       3.1%
Canal           |      2.561 |      2.016 |      6.881 |       49.972 |      62.0%
Demodulateur    |      0.087 |      0.064 |      0.129 |     1471.192 |       2.1%
Decodeur        |      0.066 |      0.032 |      0.640 |      486.231 |       1.6%
Moniteur        |      0.082 |      0.032 |      0.160 |      390.709 |       2.0%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.122 |      1.056 |     11.936 |       28.510 |      27.3%
Encodeur        |      0.067 |      0.032 |      0.097 |     1904.939 |       1.6%
Modulateur      |      0.127 |      0.096 |      1.024 |     1005.276 |       3.1%
Canal           |      2.566 |      2.016 |     15.104 |       49.885 |      62.3%
Demodulateur    |      0.087 |      0.064 |      6.688 |     1469.832 |       2.1%
Decodeur        |      0.066 |      0.032 |      4.352 |      486.758 |       1.6%
Moniteur        |      0.082 |      0.032 |      0.129 |      390.599 |       2.0%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.120 |      1.056 |     17.056 |       28.561 |      27.2%
Encodeur        |      0.067 |      0.032 |      3.712 |     1910.184 |       1.6%
Modulateur      |      0.127 |      0.096 |      0.256 |     1004.279 |       3.1%
Canal           |      2.571 |      2.016 |    368.554 |       49.789 |      62.4%
Demodulateur    |      0.087 |      0.064 |     34.049 |     1469.043 |       2.1%
Decodeur        |      0.066 |      0.032 |      3.744 |      487.232 |       1.6%
Moniteur        |      0.082 |      0.032 |      3.393 |      390.638 |       2.0%

SNR = 13.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.121 |      1.056 |     29.985 |       28.546 |      27.2%
Encodeur        |      0.067 |      0.032 |      8.065 |     1910.954 |       1.6%
Modulateur      |      0.127 |      0.096 |      8.448 |     1004.266 |       3.1%
Canal           |      2.565 |      1.984 |    378.634 |       49.894 |      62.3%
Demodulateur    |      0.087 |      0.064 |     12.192 |     1476.967 |       2.1%
Decodeur        |      0.066 |      0.032 |     13.728 |      488.076 |       1.6%
Moniteur        |      0.082 |      0.032 |     13.920 |      391.395 |       2.0%
