Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,730,100,100,2.281250e-01,1.000000e+00,0.000487,0.000004870,6.571
1.0,-5.0,1.260419,642,100,100,2.006250e-01,1.000000e+00,0.000480,0.000004800,6.667
2.0,-4.0,1.123350,491,100,100,1.534375e-01,1.000000e+00,0.000579,0.000005790,5.527
3.0,-3.0,1.001187,376,100,103,1.140777e-01,9.708738e-01,0.000595,0.000005777,5.539
4.0,-2.0,0.892308,260,100,112,7.254464e-02,8.928571e-01,0.000648,0.000005786,5.531
5.0,-1.0,0.795271,196,100,123,4.979675e-02,8.130081e-01,0.000671,0.000005455,5.866
6.0,-0.0,0.708786,153,100,164,2.915396e-02,6.097561e-01,0.000885,0.000005396,5.930
7.0,1.0,0.631706,121,100,246,1.537094e-02,4.065041e-01,0.001330,0.000005407,5.919
8.0,2.0,0.563009,112,100,511,6.849315e-03,1.956947e-01,0.002769,0.000005419,5.905
9.0,3.0,0.501782,106,100,1211,2.735343e-03,8.257639e-02,0.006000,0.000004955,6.459
10.0,4.0,0.447214,102,100,3958,8.053310e-04,2.526529e-02,0.018875,0.000004769,6.710
11.0,5.0,0.398580,102,100,18122,1.758912e-04,5.518155e-03,0.086470,0.000004772,6.706
12.0,6.0,0.355234,100,100,80783,3.868388e-05,1.237884e-03,0.385249,0.000004769,6.710
13.0,7.0,0.316603,100,100,906487,3.447374e-06,1.103160e-04,4.320322,0.000004766,6.714
