
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.160 |      1.120 |      3.712 |       27.584 |      26.5%
Encodeur        |      0.079 |      0.032 |      0.192 |     1621.212 |       1.8%
Modulateur      |      0.135 |      0.128 |      0.224 |      951.111 |       3.1%
Canal           |      2.754 |      2.048 |     17.761 |       46.475 |      62.9%
Demodulateur    |      0.081 |      0.064 |      0.128 |     1585.185 |       1.8%
Decodeur        |      0.074 |      0.032 |      0.320 |      434.959 |       1.7%
Moniteur        |      0.095 |      0.064 |      0.704 |      335.423 |       2.2%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.150 |      1.120 |      3.584 |       27.815 |      27.4%
Encodeur        |      0.067 |      0.032 |      0.224 |     1914.164 |       1.6%
Modulateur      |      0.138 |      0.128 |      0.576 |      928.302 |       3.3%
Canal           |      2.601 |      2.080 |      5.504 |       49.208 |      62.0%
Demodulateur    |      0.078 |      0.032 |      0.128 |     1651.007 |       1.8%
Decodeur        |      0.069 |      0.032 |      0.704 |      464.151 |       1.6%
Moniteur        |      0.093 |      0.064 |      0.704 |      345.506 |       2.2%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.157 |      1.088 |      4.320 |       27.664 |      27.5%
Encodeur        |      0.069 |      0.032 |      0.256 |     1863.014 |       1.6%
Modulateur      |      0.137 |      0.128 |      0.320 |      931.457 |       3.3%
Canal           |      2.587 |      2.080 |      6.496 |       49.475 |      61.6%
Demodulateur    |      0.082 |      0.032 |      0.128 |     1563.218 |       1.9%
Decodeur        |      0.070 |      0.032 |      0.128 |      457.912 |       1.7%
Moniteur        |      0.099 |      0.064 |      1.504 |      322.275 |       2.4%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.146 |      1.088 |      3.072 |       27.929 |      27.5%
Encodeur        |      0.066 |      0.032 |      0.160 |     1926.267 |       1.6%
Modulateur      |      0.135 |      0.128 |      0.288 |      945.668 |       3.2%
Canal           |      2.584 |      2.048 |      5.121 |       49.533 |      62.0%
Demodulateur    |      0.082 |      0.064 |      0.224 |     1568.480 |       2.0%
Decodeur        |      0.065 |      0.032 |      0.128 |      491.765 |       1.6%
Moniteur        |      0.089 |      0.064 |      0.192 |      360.325 |       2.1%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.138 |      1.088 |      2.496 |       28.108 |      27.5%
Encodeur        |      0.070 |      0.032 |      0.128 |     1829.470 |       1.7%
Modulateur      |      0.136 |      0.128 |      0.320 |      943.821 |       3.3%
Canal           |      2.572 |      2.048 |      4.416 |       49.763 |      62.0%
Demodulateur    |      0.078 |      0.032 |      0.256 |     1630.722 |       1.9%
Decodeur        |      0.066 |      0.032 |      0.128 |      485.396 |       1.6%
Moniteur        |      0.086 |      0.064 |      0.160 |      372.068 |       2.1%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.139 |      1.088 |      3.681 |       28.105 |      27.5%
Encodeur        |      0.069 |      0.032 |      0.224 |     1861.622 |       1.7%
Modulateur      |      0.135 |      0.128 |      0.256 |      950.853 |       3.3%
Canal           |      2.568 |      2.048 |      5.568 |       49.837 |      62.0%
Demodulateur    |      0.079 |      0.032 |      0.192 |     1618.768 |       1.9%
Decodeur        |      0.065 |      0.032 |      0.256 |      495.053 |       1.6%
Moniteur        |      0.087 |      0.064 |      0.480 |      367.243 |       2.1%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.141 |      1.088 |      3.456 |       28.050 |       4.8%
Encodeur        |      0.068 |      0.032 |      0.192 |     1874.961 |       0.3%
Modulateur      |      0.135 |      0.096 |      0.640 |      949.415 |       0.6%
Canal           |     22.026 |      2.048 |  20059.999 |        5.811 |      93.3%
Demodulateur    |      0.081 |      0.032 |      0.288 |     1585.285 |       0.3%
Decodeur        |      0.066 |      0.032 |      0.192 |      483.103 |       0.3%
Moniteur        |      0.088 |      0.064 |      0.736 |      362.114 |       0.4%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |     15.314 |      1.088 |  32023.697 |        2.090 |      50.0%
Encodeur        |      0.067 |      0.032 |      0.288 |     1909.883 |       0.2%
Modulateur      |      0.135 |      0.096 |      0.352 |      951.228 |       0.4%
Canal           |     14.867 |      2.048 |  28019.050 |        8.610 |      48.6%
Demodulateur    |      0.079 |      0.032 |      0.288 |     1613.871 |       0.3%
Decodeur        |      0.066 |      0.032 |      0.448 |      485.393 |       0.2%
Moniteur        |      0.087 |      0.064 |      0.352 |      366.607 |       0.3%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      6.385 |      1.088 |  32027.217 |        5.012 |      20.7%
Encodeur        |      0.068 |      0.032 |      0.256 |     1880.136 |       0.2%
Modulateur      |      0.134 |      0.096 |      0.352 |      952.370 |       0.4%
Canal           |     22.310 |      2.048 |  36022.966 |        5.737 |      72.2%
Demodulateur    |      0.080 |      0.032 |      0.288 |     1595.517 |       0.3%
Decodeur        |      0.066 |      0.032 |      0.224 |      486.201 |       0.2%
Moniteur        |      1.837 |      0.064 |  28013.002 |       17.420 |       5.9%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      8.532 |      1.088 |  52026.862 |        3.751 |      26.2%
Encodeur        |      0.068 |      0.032 |      0.672 |     1881.681 |       0.2%
Modulateur      |      1.297 |      0.096 |  28012.969 |       98.658 |       4.0%
Canal           |     20.787 |      2.048 |  52016.526 |        6.158 |      63.9%
Demodulateur    |      0.359 |      0.032 |  24014.660 |      356.572 |       1.1%
Decodeur        |      0.391 |      0.032 |  28012.074 |       81.790 |       1.2%
Moniteur        |      1.111 |      0.064 |  40019.451 |       28.809 |       3.4%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      8.350 |      1.088 |  72020.705 |        3.833 |      25.0%
Encodeur        |      0.550 |      0.032 |  28052.424 |      232.562 |       1.7%
Modulateur      |      0.987 |      0.096 |  56028.210 |      129.745 |       3.0%
Canal           |     21.927 |      2.048 |  84053.332 |        5.837 |      65.8%
Demodulateur    |      0.508 |      0.032 |  28019.558 |      251.877 |       1.5%
Decodeur        |      0.456 |      0.032 |  39369.348 |       70.110 |       1.4%
Moniteur        |      0.564 |      0.064 |  52020.107 |       56.745 |       1.7%
