Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,511,100,101,1.581064e-01,9.900990e-01,0.000584,0.000005782,5.534
1.0,-5.0,1.260419,418,100,101,1.293317e-01,9.900990e-01,0.000574,0.000005683,5.631
2.0,-4.0,1.123350,337,100,101,1.042698e-01,9.900990e-01,0.000573,0.000005673,5.640
3.0,-3.0,1.001187,256,100,107,7.476635e-02,9.345794e-01,0.000576,0.000005383,5.944
4.0,-2.0,0.892308,203,100,121,5.242769e-02,8.264463e-01,0.000642,0.000005306,6.031
5.0,-1.0,0.795271,173,100,163,3.316718e-02,6.134970e-01,0.000867,0.000005319,6.016
6.0,-0.0,0.708786,130,100,182,2.232143e-02,5.494506e-01,0.000964,0.000005297,6.041
7.0,1.0,0.631706,122,100,355,1.073944e-02,2.816902e-01,0.001825,0.000005141,6.225
8.0,2.0,0.563009,111,100,624,5.558894e-03,1.602564e-01,0.003102,0.000004971,6.437
9.0,3.0,0.501782,101,100,2054,1.536636e-03,4.868549e-02,0.009696,0.000004721,6.779
10.0,4.0,0.447214,101,100,5638,5.598173e-04,1.773679e-02,0.026536,0.000004707,6.799
11.0,5.0,0.398580,100,100,24572,1.271773e-04,4.069673e-03,0.115614,0.000004705,6.801
12.0,6.0,0.355234,101,100,159301,1.981312e-05,6.277424e-04,0.749530,0.000004705,6.801
