
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.204 |      1.120 |      3.104 |       26.581 |      39.5%
Encodeur        |      0.072 |      0.032 |      0.128 |      890.688 |       2.4%
Modulateur      |      0.086 |      0.032 |      0.928 |      740.741 |       2.8%
Canal           |      1.483 |      1.152 |      4.929 |       43.159 |      48.6%
Demodulateur    |      0.075 |      0.032 |      0.672 |      855.823 |       2.5%
Decodeur        |      0.066 |      0.032 |      0.128 |      482.390 |       2.2%
Moniteur        |      0.064 |      0.032 |      0.096 |      497.738 |       2.1%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.189 |      1.152 |      1.280 |       26.915 |      39.7%
Encodeur        |      0.066 |      0.032 |      0.097 |      965.387 |       2.2%
Modulateur      |      0.079 |      0.032 |      0.096 |      805.755 |       2.7%
Canal           |      1.461 |      1.152 |      3.520 |       43.798 |      48.8%
Demodulateur    |      0.070 |      0.032 |      0.160 |      914.169 |       2.3%
Decodeur        |      0.066 |      0.032 |      0.128 |      484.717 |       2.2%
Moniteur        |      0.063 |      0.032 |      0.128 |      509.091 |       2.1%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.186 |      1.088 |      1.249 |       26.974 |      39.5%
Encodeur        |      0.066 |      0.032 |      0.096 |      966.443 |       2.2%
Modulateur      |      0.078 |      0.032 |      0.128 |      822.784 |       2.6%
Canal           |      1.462 |      1.120 |      3.489 |       43.779 |      48.7%
Demodulateur    |      0.071 |      0.032 |      0.097 |      905.482 |       2.4%
Decodeur        |      0.069 |      0.032 |      0.096 |      465.972 |       2.3%
Moniteur        |      0.069 |      0.032 |      0.096 |      461.492 |       2.3%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.123 |      1.056 |      1.184 |       28.503 |      39.7%
Encodeur        |      0.063 |      0.032 |      0.096 |     1010.870 |       2.2%
Modulateur      |      0.075 |      0.032 |      0.096 |      855.172 |       2.6%
Canal           |      1.371 |      1.088 |      3.297 |       46.679 |      48.5%
Demodulateur    |      0.065 |      0.032 |      0.097 |      991.917 |       2.3%
