Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-4.8,1.224745,297,100,107,8.674066e-02,9.345794e-01,0.001170,0.000010935,2.926
1.0,-3.8,1.091555,221,100,116,5.953664e-02,8.620690e-01,0.001254,0.000010810,2.960
2.0,-2.8,0.972849,182,100,140,4.062500e-02,7.142857e-01,0.001518,0.000010843,2.951
3.0,-1.8,0.867053,143,100,184,2.428669e-02,5.434783e-01,0.001987,0.000010799,2.963
4.0,-0.8,0.772762,123,100,274,1.402828e-02,3.649635e-01,0.002953,0.000010777,2.969
5.0,0.2,0.688725,113,100,559,6.317084e-03,1.788909e-01,0.006036,0.000010798,2.964
6.0,1.2,0.613827,102,100,1124,2.835854e-03,8.896797e-02,0.012129,0.000010791,2.965
7.0,2.2,0.547073,101,100,4301,7.338410e-04,2.325041e-02,0.046332,0.000010772,2.971
8.0,3.2,0.487580,101,100,17257,1.828968e-04,5.794750e-03,0.185648,0.000010758,2.975
9.0,4.2,0.434556,100,100,87551,3.569348e-05,1.142191e-03,0.941878,0.000010758,2.975
10.0,5.2,0.387298,100,100,801900,3.896995e-06,1.247038e-04,8.625451,0.000010756,2.975
11.0,6.2,0.345180,100,100,11256748,2.776113e-07,8.883560e-06,121.304653,0.000010776,2.970
12.0,7.2,0.307642,100,100,297863274,1.049139e-08,3.357245e-07,3209.584953,0.000010775,2.970
