Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,445,100,101,1.376856e-01,9.900990e-01,0.001508,0.000014931,2.143
1.0,-5.0,1.260419,358,100,106,1.055425e-01,9.433962e-01,0.001563,0.000014745,2.170
2.0,-4.0,1.123350,325,100,104,9.765625e-02,9.615384e-01,0.001527,0.000014683,2.179
3.0,-3.0,1.001187,230,100,107,6.717290e-02,9.345794e-01,0.001561,0.000014589,2.193
4.0,-2.0,0.892308,178,100,130,4.278846e-02,7.692308e-01,0.001888,0.000014523,2.203
5.0,-1.0,0.795271,144,100,159,2.830189e-02,6.289308e-01,0.002287,0.000014384,2.225
6.0,-0.0,0.708786,125,100,209,1.869019e-02,4.784689e-01,0.003002,0.000014364,2.228
7.0,1.0,0.631706,119,100,350,1.062500e-02,2.857143e-01,0.004994,0.000014269,2.243
8.0,2.0,0.563009,107,100,746,4.482239e-03,1.340483e-01,0.010600,0.000014209,2.252
9.0,3.0,0.501782,101,100,1770,1.783192e-03,5.649718e-02,0.025032,0.000014142,2.263
10.0,4.0,0.447214,102,100,6712,4.748957e-04,1.489869e-02,0.094815,0.000014126,2.265
11.0,5.0,0.398580,100,100,27553,1.134178e-04,3.629369e-03,0.388391,0.000014096,2.270
12.0,6.0,0.355234,100,100,154417,2.023741e-05,6.475971e-04,2.175337,0.000014087,2.272
