Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-24.1,11.313710,1656,100,100,5.175000e-01,1.000000e+00,0.077287,0.000772870,0.041
1.0,-23.1,10.083356,1609,100,100,5.028125e-01,1.000000e+00,0.076636,0.000766360,0.042
2.0,-22.1,8.986798,1594,100,100,4.981250e-01,1.000000e+00,0.078207,0.000782070,0.041
3.0,-21.1,8.009494,1612,100,100,5.037500e-01,1.000000e+00,0.075402,0.000754020,0.042
4.0,-20.1,7.138470,1605,100,100,5.015625e-01,1.000000e+00,0.075376,0.000753760,0.042
5.0,-19.1,6.362167,1596,100,100,4.987500e-01,1.000000e+00,0.075370,0.000753700,0.042
6.0,-18.1,5.670288,1545,100,100,4.828125e-01,1.000000e+00,0.075397,0.000753970,0.042
7.0,-17.1,5.053649,1516,100,100,4.737500e-01,1.000000e+00,0.075408,0.000754080,0.042
8.0,-16.1,4.504069,1273,100,100,3.978125e-01,1.000000e+00,0.075405,0.000754050,0.042
9.0,-15.1,4.014256,841,100,100,2.628125e-01,1.000000e+00,0.075379,0.000753790,0.042
10.0,-14.1,3.577709,407,100,101,1.259282e-01,9.900990e-01,0.076139,0.000753851,0.042
11.0,-13.1,3.188637,180,100,139,4.046763e-02,7.194245e-01,0.104769,0.000753734,0.042
12.0,-12.1,2.841876,114,100,422,8.441943e-03,2.369668e-01,0.318310,0.000754289,0.042
