Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-24.1,11.313710,2649,100,100,8.278125e-01,1.000000e+00,0.074685,0.000746850,0.043
1.0,-23.1,10.083356,2767,100,100,8.646875e-01,1.000000e+00,0.073593,0.000735930,0.043
2.0,-22.1,8.986798,2453,100,100,7.665625e-01,1.000000e+00,0.073498,0.000734980,0.044
3.0,-21.1,8.009494,2055,100,100,6.421875e-01,1.000000e+00,0.073486,0.000734860,0.044
4.0,-20.1,7.138470,1876,100,100,5.862500e-01,1.000000e+00,0.073590,0.000735900,0.043
5.0,-19.1,6.362167,1662,100,100,5.193750e-01,1.000000e+00,0.073661,0.000736610,0.043
6.0,-18.1,5.670288,1652,100,100,5.162500e-01,1.000000e+00,0.073626,0.000736260,0.043
7.0,-17.1,5.053649,1626,100,100,5.081250e-01,1.000000e+00,0.073606,0.000736060,0.043
8.0,-16.1,4.504069,1285,100,100,4.015625e-01,1.000000e+00,0.073589,0.000735890,0.043
9.0,-15.1,4.014256,852,100,100,2.662500e-01,1.000000e+00,0.073630,0.000736300,0.043
10.0,-14.1,3.577709,466,100,101,1.441832e-01,9.900990e-01,0.074343,0.000736069,0.043
11.0,-13.1,3.188637,221,100,120,5.755208e-02,8.333333e-01,0.088325,0.000736042,0.043
12.0,-12.1,2.841876,166,100,156,3.325320e-02,6.410257e-01,0.114807,0.000735942,0.043
13.0,-11.1,2.532824,182,100,129,4.408915e-02,7.751938e-01,0.095012,0.000736527,0.043
14.0,-10.1,2.257382,275,100,108,7.957176e-02,9.259259e-01,0.079528,0.000736370,0.043
