
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.130 |      1.056 |      2.080 |       28.306 |       7.9%
Encodeur        |      0.068 |      0.032 |      0.160 |     1887.850 |       0.5%
Modulateur      |      0.082 |      0.032 |      0.480 |     1565.891 |       0.6%
Canal           |     11.478 |     11.233 |     13.568 |       11.152 |      80.1%
Demodulateur    |      0.177 |      0.128 |      0.193 |      722.679 |       1.2%
Decodeur        |      1.193 |      0.960 |      2.592 |       26.833 |       8.3%
Moniteur        |      0.193 |      0.128 |      0.768 |      165.837 |       1.3%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.123 |      1.088 |      1.184 |       28.494 |       7.9%
Encodeur        |      0.068 |      0.032 |      0.096 |     1884.444 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.096 |     1675.889 |       0.5%
Canal           |     11.433 |     11.200 |     11.712 |       11.196 |      80.8%
Demodulateur    |      0.177 |      0.128 |      0.192 |      724.786 |       1.2%
Decodeur        |      1.106 |      0.896 |      1.312 |       28.930 |       7.8%
Moniteur        |      0.163 |      0.096 |      0.288 |      196.296 |       1.2%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.119 |      1.088 |      1.216 |       28.586 |       7.9%
Encodeur        |      0.068 |      0.032 |      0.096 |     1882.353 |       0.5%
Modulateur      |      0.077 |      0.032 |      0.096 |     1670.683 |       0.5%
Canal           |     11.438 |     11.264 |     11.648 |       11.191 |      81.1%
Demodulateur    |      0.179 |      0.160 |      0.224 |      713.474 |       1.3%
Decodeur        |      1.057 |      0.736 |      1.312 |       30.267 |       7.5%
Moniteur        |      0.172 |      0.096 |      0.288 |      186.380 |       1.2%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.120 |      1.057 |      1.152 |       28.571 |       8.0%
Encodeur        |      0.064 |      0.032 |      0.097 |     1999.708 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.096 |     1685.039 |       0.5%
Canal           |     11.416 |     11.232 |     11.585 |       11.212 |      81.5%
Demodulateur    |      0.180 |      0.160 |      0.192 |      712.146 |       1.3%
Decodeur        |      1.003 |      0.736 |      1.344 |       31.892 |       7.2%
Moniteur        |      0.155 |      0.096 |      0.288 |      206.564 |       1.1%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.088 |      1.153 |       28.470 |       8.0%
Encodeur        |      0.064 |      0.032 |      0.096 |     2015.504 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.129 |     1682.678 |       0.5%
Canal           |     11.431 |     11.232 |     11.585 |       11.197 |      81.6%
Demodulateur    |      0.181 |      0.160 |      0.224 |      706.522 |       1.3%
Decodeur        |      1.001 |      0.704 |      9.696 |       31.980 |       7.1%
Moniteur        |      0.137 |      0.096 |      0.256 |      234.234 |       1.0%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.120 |      1.056 |      1.153 |       28.571 |       8.1%
Encodeur        |      0.072 |      0.032 |      0.096 |     1781.513 |       0.5%
Modulateur      |      0.079 |      0.032 |      0.096 |     1618.321 |       0.6%
Canal           |     11.420 |     11.233 |     11.585 |       11.208 |      82.5%
Demodulateur    |      0.180 |      0.160 |      0.224 |      711.385 |       1.3%
Decodeur        |      0.842 |      0.544 |      1.088 |       37.992 |       6.1%
Moniteur        |      0.122 |      0.096 |      0.160 |      262.810 |       0.9%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.088 |      1.184 |       28.478 |       8.1%
Encodeur        |      0.069 |      0.032 |      0.096 |     1866.071 |       0.5%
Modulateur      |      0.077 |      0.032 |      0.128 |     1668.663 |       0.6%
Canal           |     11.465 |     11.233 |     18.560 |       11.165 |      82.8%
Demodulateur    |      0.179 |      0.128 |      0.224 |      716.328 |       1.3%
Decodeur        |      0.797 |      0.608 |      1.024 |       40.146 |       5.8%
Moniteur        |      0.128 |      0.096 |      0.192 |      249.106 |       0.9%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.119 |      1.056 |      1.153 |       28.587 |       8.1%
Encodeur        |      0.067 |      0.032 |      0.096 |     1912.568 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.096 |     1686.747 |       0.6%
Canal           |     11.484 |     11.201 |     35.393 |       11.146 |      83.3%
Demodulateur    |      0.181 |      0.128 |      0.224 |      707.417 |       1.3%
Decodeur        |      0.730 |      0.544 |      0.928 |       43.859 |       5.3%
Moniteur        |      0.124 |      0.096 |      0.160 |      258.678 |       0.9%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.129 |      1.056 |      7.552 |       28.335 |       8.3%
Encodeur        |      0.067 |      0.032 |      0.097 |     1900.599 |       0.5%
Modulateur      |      0.077 |      0.032 |      0.128 |     1653.157 |       0.6%
Canal           |     11.427 |     11.200 |     15.616 |       11.202 |      83.5%
Demodulateur    |      0.179 |      0.128 |      0.224 |      713.508 |       1.3%
Decodeur        |      0.684 |      0.448 |      7.264 |       46.817 |       5.0%
Moniteur        |      0.116 |      0.064 |      0.161 |      276.184 |       0.8%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.120 |      1.056 |      1.217 |       28.565 |       8.2%
Encodeur        |      0.067 |      0.032 |      0.096 |     1903.738 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.128 |     1677.303 |       0.6%
Canal           |     11.429 |     11.168 |     18.465 |       11.200 |      84.0%
Demodulateur    |      0.181 |      0.128 |      0.256 |      708.627 |       1.3%
Decodeur        |      0.633 |      0.416 |      0.864 |       50.541 |       4.7%
Moniteur        |      0.107 |      0.064 |      0.161 |      300.094 |       0.8%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.123 |      1.056 |      5.216 |       28.506 |       8.3%
Encodeur        |      0.067 |      0.032 |      0.097 |     1913.861 |       0.5%
Modulateur      |      0.076 |      0.032 |      0.129 |     1675.020 |       0.6%
Canal           |     11.437 |     11.168 |     24.864 |       11.192 |      84.2%
Demodulateur    |      0.180 |      0.128 |      0.225 |      711.093 |       1.3%
Decodeur        |      0.605 |      0.416 |      6.368 |       52.900 |       4.5%
Moniteur        |      0.103 |      0.064 |      3.584 |      310.935 |       0.8%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.122 |      1.056 |     13.152 |       28.513 |       8.3%
Encodeur        |      0.067 |      0.032 |      3.584 |     1907.070 |       0.5%
Modulateur      |      0.077 |      0.032 |      0.129 |     1671.634 |       0.6%
Canal           |     11.432 |     11.136 |     40.609 |       11.197 |      84.3%
Demodulateur    |      0.180 |      0.128 |      0.224 |      710.152 |       1.3%
Decodeur        |      0.581 |      0.384 |     13.409 |       55.075 |       4.3%
Moniteur        |      0.102 |      0.064 |      3.905 |      313.138 |       0.8%

SNR = 12.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.122 |      1.056 |     15.745 |       28.524 |       8.3%
Encodeur        |      0.067 |      0.032 |      0.128 |     1911.130 |       0.5%
Modulateur      |      0.077 |      0.032 |      5.121 |     1667.483 |       0.6%
Canal           |     11.436 |     11.136 |     70.530 |       11.192 |      84.4%
Demodulateur    |      0.180 |      0.128 |      4.576 |      709.330 |       1.3%
Decodeur        |      0.569 |      0.352 |      8.000 |       56.281 |       4.2%
Moniteur        |      0.102 |      0.064 |      4.000 |      314.616 |       0.8%
