
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.157 |      1.088 |      2.496 |       27.669 |       0.1%
Encodeur        |      1.010 |      0.832 |      9.376 |     8111.132 |       0.1%
Modulateur      |      2.523 |      2.304 |     16.768 |     3247.430 |       0.3%
Canal           |    804.292 |    718.199 |   1331.820 |       10.185 |      96.9%
Demodulateur    |     10.762 |      9.152 |     45.538 |      761.178 |       1.3%
Decodeur        |     10.124 |      8.672 |     89.955 |        3.161 |       1.2%
Moniteur        |      0.318 |      0.192 |      0.672 |      100.705 |       0.0%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.128 |      1.088 |      1.408 |       28.360 |       0.1%
Encodeur        |      0.872 |      0.832 |      0.928 |     9397.621 |       0.1%
Modulateur      |      2.452 |      2.304 |     10.881 |     3340.537 |       0.3%
Canal           |    779.357 |    717.016 |   1334.155 |       10.511 |      97.0%
Demodulateur    |     10.064 |      9.152 |     42.081 |      814.013 |       1.3%
Decodeur        |      9.352 |      8.672 |     41.314 |        3.422 |       1.2%
Moniteur        |      0.303 |      0.192 |      0.448 |      105.482 |       0.0%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.362 |      1.057 |     21.120 |       23.496 |       0.2%
Encodeur        |      0.907 |      0.800 |      2.144 |     9036.357 |       0.1%
Modulateur      |      2.628 |      2.304 |     16.320 |     3117.211 |       0.3%
Canal           |    787.816 |    717.080 |   1424.014 |       10.398 |      96.9%
Demodulateur    |     10.521 |      9.152 |     85.762 |      778.661 |       1.3%
Decodeur        |      9.793 |      8.672 |     69.539 |        3.268 |       1.2%
Moniteur        |      0.310 |      0.192 |      1.088 |      103.199 |       0.0%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.126 |      1.088 |      1.280 |       28.408 |       0.2%
Encodeur        |      0.866 |      0.832 |      0.992 |     9460.458 |       0.1%
Modulateur      |      2.360 |      2.304 |      2.464 |     3471.539 |       0.3%
Canal           |    723.412 |    716.663 |    739.065 |       11.324 |      97.0%
Demodulateur    |      9.201 |      9.152 |      9.280 |      890.313 |       1.2%
Decodeur        |      8.855 |      8.672 |     18.273 |        3.614 |       1.2%
Moniteur        |      0.287 |      0.193 |      0.384 |      111.475 |       0.0%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.133 |      1.088 |      1.696 |       28.248 |       0.2%
Encodeur        |      0.863 |      0.800 |      0.928 |     9494.999 |       0.1%
Modulateur      |      2.355 |      2.304 |      2.400 |     3478.645 |       0.3%
Canal           |    723.449 |    715.960 |    751.001 |       11.324 |      97.0%
Demodulateur    |      9.204 |      9.152 |      9.281 |      890.065 |       1.2%
Decodeur        |      8.762 |      8.672 |      8.864 |        3.652 |       1.2%
Moniteur        |      0.292 |      0.224 |      0.384 |      109.762 |       0.0%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.129 |      1.088 |      1.248 |       28.343 |       0.2%
Encodeur        |      0.862 |      0.800 |      0.960 |     9502.157 |       0.1%
Modulateur      |      2.359 |      2.304 |      2.401 |     3472.982 |       0.3%
Canal           |    723.080 |    717.496 |    735.224 |       11.329 |      97.0%
Demodulateur    |      9.203 |      9.152 |      9.280 |      890.189 |       1.2%
Decodeur        |      8.768 |      8.673 |      8.864 |        3.650 |       1.2%
Moniteur        |      0.297 |      0.224 |      0.416 |      107.635 |       0.0%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.088 |      1.248 |       28.433 |       0.2%
Encodeur        |      0.863 |      0.832 |      0.960 |     9488.180 |       0.1%
Modulateur      |      2.356 |      2.304 |      2.400 |     3477.124 |       0.3%
Canal           |    724.881 |    716.983 |    891.357 |       11.301 |      97.0%
Demodulateur    |      9.202 |      9.152 |      9.249 |      890.246 |       1.2%
Decodeur        |      8.767 |      8.673 |      8.864 |        3.650 |       1.2%
