
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.281 |      1.184 |      4.672 |       24.974 |       0.2%
Encodeur        |      0.950 |      0.800 |      7.424 |     8622.250 |       0.1%
Modulateur      |      2.603 |      2.304 |     23.712 |     3147.622 |       0.4%
Canal           |    723.641 |    706.410 |    825.452 |       11.321 |      97.9%
Demodulateur    |      9.620 |      9.152 |     36.289 |      851.592 |       1.3%
Decodeur        |      0.848 |      0.768 |      1.664 |       37.721 |       0.1%
Moniteur        |      0.217 |      0.160 |      0.352 |      147.493 |       0.0%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.239 |      1.152 |      2.464 |       25.819 |       0.2%
Encodeur        |      0.870 |      0.800 |      0.960 |     9411.548 |       0.1%
Modulateur      |      2.367 |      2.304 |      3.008 |     3461.316 |       0.3%
Canal           |    713.276 |    707.434 |    730.858 |       11.485 |      98.0%
Demodulateur    |      9.301 |      9.152 |     14.272 |      880.768 |       1.3%
Decodeur        |      0.829 |      0.768 |      2.080 |       38.580 |       0.1%
Moniteur        |      0.193 |      0.128 |      0.256 |      166.113 |       0.0%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.234 |      1.152 |      1.824 |       25.933 |       0.2%
Encodeur        |      0.881 |      0.800 |      1.024 |     9295.465 |       0.1%
Modulateur      |      2.427 |      2.304 |      9.408 |     3375.500 |       0.3%
Canal           |    712.088 |    707.018 |    723.370 |       11.504 |      98.0%
Demodulateur    |      9.216 |      9.152 |      9.280 |      888.908 |       1.3%
Decodeur        |      0.822 |      0.768 |      1.376 |       38.940 |       0.1%
Moniteur        |      0.216 |      0.128 |      0.288 |      148.361 |       0.0%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
