Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,270,100,109,7.740825e-02,9.174312e-01,0.001532,0.000014055,2.277
1.0,-5.0,1.260419,213,100,115,5.788044e-02,8.695652e-01,0.001608,0.000013983,2.289
2.0,-4.0,1.123350,176,100,150,3.666667e-02,6.666667e-01,0.002093,0.000013953,2.293
3.0,-3.0,1.001187,131,100,192,2.132162e-02,5.208333e-01,0.002671,0.000013911,2.300
4.0,-2.0,0.892308,125,100,302,1.293460e-02,3.311258e-01,0.004216,0.000013960,2.292
5.0,-1.0,0.795271,109,100,568,5.996919e-03,1.760563e-01,0.007945,0.000013988,2.288
6.0,-0.0,0.708786,108,100,1350,2.500000e-03,7.407407e-02,0.018873,0.000013980,2.289
7.0,1.0,0.631706,102,100,3889,8.196195e-04,2.571355e-02,0.054320,0.000013968,2.291
8.0,2.0,0.563009,100,100,15910,1.964173e-04,6.285355e-03,0.221668,0.000013933,2.297
9.0,3.0,0.501782,100,100,86417,3.616187e-05,1.157180e-03,1.204084,0.000013933,2.297
10.0,4.0,0.447214,100,100,793372,3.938884e-06,1.260443e-04,11.080496,0.000013966,2.291
11.0,5.0,0.398580,100,100,14424513,2.166451e-07,6.932643e-06,201.203661,0.000013949,2.294
