Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-3.0,1.000000,272,100,105,8.095238e-02,9.523810e-01,0.000451,0.000004295,7.450
1.0,-2.0,0.891251,244,100,113,6.747787e-02,8.849558e-01,0.000464,0.000004106,7.793
2.0,-1.0,0.794328,190,100,144,4.123264e-02,6.944444e-01,0.000608,0.000004222,7.579
3.0,-0.0,0.707946,150,100,154,3.043831e-02,6.493506e-01,0.000623,0.000004045,7.910
4.0,1.0,0.630957,150,100,192,2.441406e-02,5.208333e-01,0.000783,0.000004078,7.847
5.0,2.0,0.562341,117,100,297,1.231061e-02,3.367004e-01,0.001181,0.000003976,8.047
6.0,3.0,0.501187,115,100,441,8.149093e-03,2.267574e-01,0.001679,0.000003807,8.405
7.0,4.0,0.446684,112,100,900,3.888889e-03,1.111111e-01,0.003416,0.000003796,8.431
8.0,5.0,0.398107,102,100,1395,2.284946e-03,7.168459e-02,0.005278,0.000003784,8.458
9.0,6.0,0.354813,102,100,3665,8.697135e-04,2.728513e-02,0.012721,0.000003471,9.219
10.0,7.0,0.316228,101,100,13009,2.426205e-04,7.686986e-03,0.043615,0.000003353,9.545
11.0,8.0,0.281838,100,100,48059,6.502424e-05,2.080776e-03,0.161103,0.000003352,9.546
12.0,9.0,0.251189,100,100,260982,1.197401e-05,3.831682e-04,0.874718,0.000003352,9.548
