
SNR = 0.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.718 |      1.280 |     34.881 |       18.629 |      46.3%
Encodeur        |      0.093 |      0.064 |      1.504 |      689.873 |       2.5%
Modulateur      |      0.101 |      0.064 |      1.504 |      633.721 |       2.7%
Canal           |      1.537 |      1.152 |      7.040 |       41.634 |      41.4%
Demodulateur    |      0.094 |      0.032 |      1.760 |      681.183 |       2.5%
Decodeur        |      0.080 |      0.064 |      0.384 |      399.267 |       2.2%
Moniteur        |      0.087 |      0.032 |      1.504 |      366.965 |       2.4%

SNR = 1.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.361 |      1.280 |      1.536 |       23.504 |      42.2%
Encodeur        |      0.076 |      0.032 |      0.128 |      845.361 |       2.3%
Modulateur      |      0.085 |      0.064 |      0.160 |      754.601 |       2.6%
Canal           |      1.475 |      1.153 |      3.841 |       43.392 |      45.7%
Demodulateur    |      0.079 |      0.032 |      0.128 |      811.881 |       2.4%
Decodeur        |      0.076 |      0.032 |      0.097 |      418.323 |       2.4%
Moniteur        |      0.076 |      0.032 |      0.097 |      421.188 |       2.4%

SNR = 2.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.359 |      1.280 |      1.408 |       23.548 |      41.7%
Encodeur        |      0.078 |      0.032 |      0.128 |      823.899 |       2.4%
Modulateur      |      0.087 |      0.064 |      0.128 |      738.028 |       2.7%
Canal           |      1.502 |      1.152 |      3.841 |       42.600 |      46.1%
Demodulateur    |      0.081 |      0.064 |      0.128 |      791.541 |       2.5%
Decodeur        |      0.076 |      0.032 |      0.097 |      418.489 |       2.3%
Moniteur        |      0.075 |      0.032 |      0.128 |      426.710 |       2.3%

SNR = 3.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.355 |      1.280 |      1.408 |       23.611 |      41.9%
Encodeur        |      0.079 |      0.032 |      0.128 |      814.261 |       2.4%
Modulateur      |      0.088 |      0.064 |      0.128 |      726.547 |       2.7%
Canal           |      1.475 |      1.152 |      3.840 |       43.378 |      45.6%
Demodulateur    |      0.081 |      0.064 |      0.128 |      794.706 |       2.5%
Decodeur        |      0.075 |      0.032 |      0.097 |      425.203 |       2.3%
Moniteur        |      0.082 |      0.032 |      0.128 |      391.398 |       2.5%

SNR = 4.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.356 |      1.280 |      1.408 |       23.598 |      41.7%
Encodeur        |      0.078 |      0.032 |      0.128 |      823.529 |       2.4%
Modulateur      |      0.088 |      0.064 |      0.128 |      727.464 |       2.7%
Canal           |      1.493 |      1.184 |      3.840 |       42.855 |      46.0%
Demodulateur    |      0.079 |      0.032 |      0.128 |      810.602 |       2.4%
Decodeur        |      0.076 |      0.032 |      0.096 |      419.094 |       2.3%
Moniteur        |      0.079 |      0.032 |      0.128 |      404.668 |       2.4%

SNR = 5.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      2.010 |      1.216 |    379.341 |       15.922 |      51.7%
Encodeur        |      0.109 |      0.032 |     18.336 |      586.534 |       2.8%
Modulateur      |      0.086 |      0.064 |      0.160 |      748.064 |       2.2%
Canal           |      1.455 |      1.088 |      3.840 |       43.986 |      37.4%
Demodulateur    |      0.077 |      0.032 |      0.128 |      831.793 |       2.0%
Decodeur        |      0.075 |      0.032 |      0.128 |      425.489 |       1.9%
Moniteur        |      0.074 |      0.032 |      0.128 |      431.779 |       1.9%

SNR = 6.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.270 |      1.216 |      1.344 |       25.205 |      41.8%
Encodeur        |      0.073 |      0.032 |      0.097 |      875.749 |       2.4%
Modulateur      |      0.082 |      0.032 |      0.160 |      785.135 |       2.7%
Canal           |      1.398 |      1.088 |     11.969 |       45.778 |      46.0%
Demodulateur    |      0.074 |      0.032 |      0.096 |      865.295 |       2.4%
Decodeur        |      0.072 |      0.032 |      0.097 |      446.526 |       2.4%
Moniteur        |      0.070 |      0.032 |      0.128 |      458.904 |       2.3%

SNR = 7.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.196 |      1.056 |    138.181 |       26.764 |      41.4%
Encodeur        |      0.066 |      0.032 |      0.128 |      969.829 |       2.3%
Modulateur      |      0.076 |      0.032 |      6.304 |      845.339 |       2.6%
Canal           |      1.273 |      0.960 |      9.825 |       50.273 |      44.1%
Demodulateur    |      0.071 |      0.032 |     12.288 |      895.483 |       2.5%
Decodeur        |      0.065 |      0.032 |      0.097 |      488.849 |       2.3%
Moniteur        |      0.141 |      0.032 |    296.746 |      227.629 |       4.9%

SNR = 8.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |      4.768 |       28.456 |      41.9%
Encodeur        |      0.064 |      0.032 |      0.097 |     1007.249 |       2.4%
Modulateur      |      0.073 |      0.032 |      3.904 |      880.996 |       2.7%
Canal           |      1.233 |      0.960 |      9.217 |       51.917 |      45.9%
Demodulateur    |      0.066 |      0.032 |      0.097 |      972.235 |       2.5%
Decodeur        |      0.063 |      0.032 |      0.128 |      504.676 |       2.4%
Moniteur        |      0.061 |      0.032 |      0.097 |      525.976 |       2.3%

SNR = 9.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |     11.040 |       28.436 |      41.9%
Encodeur        |      0.064 |      0.032 |      3.712 |     1004.111 |       2.4%
Modulateur      |      0.072 |      0.032 |      3.456 |      892.045 |       2.7%
Canal           |      1.233 |      0.960 |     31.266 |       51.903 |      45.9%
Demodulateur    |      0.066 |      0.032 |      0.097 |      975.725 |       2.4%
Decodeur        |      0.063 |      0.032 |      3.584 |      504.817 |       2.4%
Moniteur        |      0.061 |      0.032 |      3.424 |      527.088 |       2.3%

SNR = 10.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.125 |      1.056 |     50.722 |       28.439 |      41.9%
Encodeur        |      0.064 |      0.032 |      4.608 |     1003.799 |       2.4%
Modulateur      |      0.072 |      0.032 |      7.008 |      889.384 |       2.7%
Canal           |      1.233 |      0.960 |     18.657 |       51.910 |      45.9%
Demodulateur    |      0.066 |      0.032 |     10.560 |      973.698 |       2.4%
Decodeur        |      0.063 |      0.032 |      8.288 |      504.207 |       2.4%
Moniteur        |      0.061 |      0.032 |     11.648 |      526.671 |       2.3%

SNR = 11.0 dB
Bloc            |    Moy(us) |    Min(us) |    Max(us) |  Debit(Mbps) |   %(temps)
---------------+-----------+-----------+-----------+--------------+-----------
Source          |      1.124 |      1.024 |     95.043 |       28.477 |      41.9%
Encodeur        |      0.064 |      0.032 |     11.616 |     1005.138 |       2.4%
Modulateur      |      0.072 |      0.032 |      9.440 |      890.101 |       2.7%
Canal           |      1.233 |      0.960 |     44.961 |       51.919 |      46.0%
