Eb/N0(dB),Es/N0(dB),sigma,be,fe,fn,BER,FER,time(s),AvgTime(s),Sim_thr(Mbps)
0.0,-6.0,1.414214,543,100,101,1.680074e-01,9.900990e-01,0.001387,0.000013733,2.330
1.0,-5.0,1.260419,439,100,101,1.358292e-01,9.900990e-01,0.001384,0.000013703,2.335
2.0,-4.0,1.123350,355,100,105,1.056548e-01,9.523810e-01,0.001437,0.000013686,2.338
3.0,-3.0,1.001187,275,100,110,7.812500e-02,9.090909e-01,0.001506,0.000013691,2.337
4.0,-2.0,0.892308,224,100,121,5.785124e-02,8.264463e-01,0.001649,0.000013628,2.348
5.0,-1.0,0.795271,157,100,137,3.581204e-02,7.299270e-01,0.001866,0.000013620,2.349
6.0,-0.0,0.708786,135,100,199,2.119975e-02,5.025126e-01,0.002709,0.000013613,2.351
7.0,1.0,0.631706,120,100,341,1.099707e-02,2.932551e-01,0.004645,0.000013622,2.349
8.0,2.0,0.563009,108,100,747,4.518072e-03,1.338688e-01,0.010166,0.000013609,2.351
9.0,3.0,0.501782,102,100,1822,1.749451e-03,5.488474e-02,0.024796,0.000013609,2.351
10.0,4.0,0.447214,101,100,5314,5.939499e-04,1.881822e-02,0.072282,0.000013602,2.353
11.0,5.0,0.398580,100,100,20955,1.491291e-04,4.772131e-03,0.284964,0.000013599,2.353
12.0,6.0,0.355234,100,100,141187,2.213377e-05,7.082805e-04,1.918708,0.000013590,2.355
13.0,7.0,0.316603,100,100,1773140,1.762410e-06,5.639713e-05,24.102975,0.000013593,2.354
14.0,8.0,0.282173,100,100,24036818,1.300089e-07,4.160284e-06,326.368561,0.000013578,2.357
